Total number of games found: 10874,,,,,
Number of games with 20 or more players: 590,,,,,
game name,number of players,total playtime,playtime distribution,average playtime,Category
Counter-Strike,265,147167.0667,"[387.3333333333333, 14.7, 326.48333333333335, 1.4833333333333334, 2177.65, 9872.45, 0.18333333333333332, 1002.6833333333333, 14.7, 39.233333333333334, 14.633333333333333, 3.3333333333333335, 739.3166666666667, 0.1, 37.03333333333333, 0.016666666666666666, 31.066666666666666, 83.61666666666666, 761.0833333333334, 0.75, 6.333333333333333, 7777.283333333334, 42.233333333333334, 0.7, 1144.9333333333334, 92.96666666666667, 625.8833333333333, 152.65, 1.05, 605.35, 223.1, 10788.55, 180.75, 306.68333333333334, 4.233333333333333, 52.06666666666667, 5.2, 73.46666666666667, 22.216666666666665, 49.55, 4.9, 0.03333333333333333, 0.31666666666666665, 87.56666666666666, 30.283333333333335, 0.23333333333333334, 611.75, 1066.6166666666666, 291.6333333333333, 2.216666666666667, 2.2333333333333334, 964.1, 817.8333333333334, 60.333333333333336, 14.616666666666667, 1.0166666666666666, 14.066666666666666, 25.716666666666665, 119.28333333333333, 1122.5, 11.733333333333333, 3.1333333333333333, 2.95, 15.05, 0.06666666666666667, 0.11666666666666667, 7.9, 1288.8, 5999.833333333333, 183.86666666666667, 75.98333333333333, 38.35, 854.2, 15.35, 0.03333333333333333, 926.4833333333333, 222.2, 843.0333333333333, 1325.7166666666667, 22.65, 179.4, 7.2, 28.05, 112.61666666666666, 38.93333333333333, 343.46666666666664, 18.683333333333334, 30.75, 617.35, 268.93333333333334, 529.6833333333333, 37.65, 1001.7, 3044.4166666666665, 3.716666666666667, 7.8, 0.25, 32.016666666666666, 55.36666666666667, 14.533333333333333, 172.4, 6979.15, 0.65, 0.016666666666666666, 2.2666666666666666, 53.233333333333334, 3.183333333333333, 1.6666666666666667, 1.05, 3.4, 0.08333333333333333, 650.85, 1.1, 147.88333333333333, 4.85, 858.9166666666666, 689.3333333333334, 105.66666666666667, 0.25, 253.73333333333332, 2.5166666666666666, 0.6833333333333333, 147.63333333333333, 76.28333333333333, 1.4833333333333334, 140.08333333333334, 218.83333333333334, 276.0, 217.85, 54.25, 126.66666666666667, 98.96666666666667, 0.5833333333333334, 8.416666666666666, 16.266666666666666, 7.95, 1733.5166666666667, 56.81666666666667, 2.95, 15.083333333333334, 5.733333333333333, 5170.383333333333, 17.683333333333334, 296.03333333333336, 327.6666666666667, 0.31666666666666665, 1661.2333333333333, 960.5, 7739.483333333334, 7.9, 1.5333333333333334, 7.4, 13.183333333333334, 652.05, 715.3, 0.5, 3036.2833333333333, 5143.666666666667, 14.25, 385.3833333333333, 4.1, 4.5, 348.56666666666666, 442.6166666666667, 79.16666666666667, 0.016666666666666666, 491.45, 1189.8833333333334, 7.216666666666667, 184.66666666666666, 383.6, 0.45, 275.55, 146.96666666666667, 47.45, 0.3, 0.05, 20.55, 3.1, 103.78333333333333, 5.216666666666667, 56.983333333333334, 0.016666666666666666, 386.03333333333336, 966.1, 0.18333333333333332, 1007.7666666666667, 2.7666666666666666, 5.616666666666666, 48.85, 401.6, 38.016666666666666, 0.016666666666666666, 3.4, 29.5, 102.5, 16.3, 11074.683333333332, 0.8666666666666667, 0.45, 0.016666666666666666, 146.03333333333333, 0.05, 3723.6, 0.16666666666666666, 237.41666666666666, 494.8666666666667, 3.566666666666667, 0.05, 1.95, 0.36666666666666664, 1672.0, 139.81666666666666, 13.716666666666667, 0.6333333333333333, 223.9, 7060.2, 202.81666666666666, 217.23333333333332, 1.45, 1.6833333333333333, 1.4833333333333334, 0.11666666666666667, 4.55, 15.25, 11.95, 356.0833333333333, 175.58333333333334, 1850.7666666666667, 8.116666666666667, 159.4, 67.08333333333333, 27.633333333333333, 1367.0333333333333, 26.333333333333332, 627.65, 64.86666666666666, 1.8166666666666667, 153.55, 7.683333333333334, 19.283333333333335, 16.216666666666665, 1.4666666666666666, 117.1, 27.833333333333332, 3.75, 0.31666666666666665, 17.083333333333332, 5.966666666666667, 0.2, 57.916666666666664, 363.7, 4013.6666666666665, 1.6, 0.016666666666666666, 5.016666666666667, 9.9, 950.3833333333333, 83.61666666666666, 3.0166666666666666, 0.1, 4002.75, 26.166666666666668, 91.21666666666667, 0.18333333333333332]",555.3474214,Competitive
Magicka,95,906.5,"[2.7333333333333334, 7.483333333333333, 0.016666666666666666, 2.033333333333333, 6.516666666666667, 2.3, 0.7, 4.066666666666666, 20.066666666666666, 5.4, 6.183333333333334, 26.583333333333332, 0.5666666666666667, 4.116666666666666, 31.25, 1.1166666666666667, 0.8166666666666667, 6.816666666666666, 8.366666666666667, 18.216666666666665, 0.6666666666666666, 4.383333333333334, 2.55, 16.65, 12.066666666666666, 25.666666666666668, 3.2, 3.1666666666666665, 11.833333333333334, 1.65, 6.0, 6.716666666666667, 15.583333333333334, 2.1166666666666667, 2.4833333333333334, 1.95, 4.483333333333333, 25.45, 3.5166666666666666, 0.13333333333333333, 16.983333333333334, 1.1333333333333333, 0.05, 8.583333333333334, 2.3, 4.616666666666666, 38.18333333333333, 17.566666666666666, 29.683333333333334, 12.8, 3.35, 5.983333333333333, 0.9166666666666666, 3.7, 0.1, 14.05, 5.566666666666666, 0.8166666666666667, 4.1, 7.716666666666667, 1.6833333333333333, 1.3333333333333333, 2.75, 2.316666666666667, 36.21666666666667, 8.316666666666666, 0.65, 1.1, 7.466666666666667, 141.21666666666667, 19.233333333333334, 40.71666666666667, 0.55, 3.2, 0.016666666666666666, 14.266666666666667, 0.5333333333333333, 26.7, 12.233333333333333, 0.03333333333333333, 0.36666666666666664, 12.833333333333334, 1.7333333333333334, 9.033333333333333, 11.683333333333334, 33.7, 0.21666666666666667, 0.8333333333333334, 14.266666666666667, 2.8, 0.4166666666666667, 11.366666666666667, 0.016666666666666666, 2.1, 0.7833333333333333]",9.542105263,Casual
Portal 2,154,2165.3,"[10.633333333333333, 10.833333333333334, 7.283333333333333, 15.75, 16.5, 8.25, 1.3666666666666667, 8.45, 13.666666666666666, 0.4666666666666667, 2.4166666666666665, 48.85, 6.55, 13.433333333333334, 16.466666666666665, 27.383333333333333, 16.866666666666667, 2.9833333333333334, 16.45, 8.516666666666667, 10.95, 30.983333333333334, 20.966666666666665, 5.383333333333334, 9.8, 14.416666666666666, 11.9, 41.333333333333336, 8.783333333333333, 5.316666666666666, 23.266666666666666, 9.033333333333333, 8.716666666666667, 3.716666666666667, 8.1, 3.9833333333333334, 21.75, 20.766666666666666, 1.8, 20.383333333333333, 29.183333333333334, 7.633333333333334, 22.6, 14.0, 3.9166666666666665, 28.05, 27.166666666666668, 2.3333333333333335, 1.3333333333333333, 2.6666666666666665, 19.233333333333334, 8.116666666666667, 19.683333333333334, 17.583333333333332, 3.3333333333333335, 18.533333333333335, 20.55, 19.683333333333334, 10.616666666666667, 44.916666666666664, 21.65, 7.966666666666667, 26.4, 1.7, 7.616666666666666, 32.21666666666667, 0.43333333333333335, 2.3333333333333335, 10.4, 5.466666666666667, 2.6666666666666665, 3.433333333333333, 13.933333333333334, 15.183333333333334, 11.166666666666666, 35.166666666666664, 9.366666666666667, 16.783333333333335, 14.666666666666666, 28.366666666666667, 0.8166666666666667, 16.366666666666667, 6.833333333333333, 15.116666666666667, 13.783333333333333, 1.2333333333333334, 10.266666666666667, 10.45, 0.08333333333333333, 20.083333333333332, 9.95, 12.416666666666666, 13.216666666666667, 10.55, 20.016666666666666, 25.983333333333334, 8.366666666666667, 6.183333333333334, 79.38333333333334, 66.71666666666667, 15.666666666666666, 6.916666666666667, 11.65, 10.95, 6.266666666666667, 34.03333333333333, 17.25, 15.766666666666667, 21.183333333333334, 2.25, 41.18333333333333, 13.666666666666666, 9.266666666666667, 25.716666666666665, 4.216666666666667, 21.616666666666667, 4.95, 7.683333333333334, 28.35, 20.033333333333335, 13.4, 39.333333333333336, 0.8666666666666667, 7.366666666666666, 38.416666666666664, 2.9166666666666665, 18.516666666666666, 10.266666666666667, 3.4, 0.5166666666666667, 14.2, 1.75, 1.3, 9.45, 18.0, 20.033333333333335, 8.25, 20.216666666666665, 5.183333333333334, 4.866666666666666, 19.933333333333334, 14.566666666666666, 0.15, 7.05, 10.416666666666666, 12.65, 14.683333333333334, 1.2833333333333334, 2.8833333333333333, 8.966666666666667, 17.766666666666666, 6.183333333333334, 1.55, 20.016666666666666]",14.06038961,Casual
Fallout: New Vegas,69,3190.516667,"[0.6666666666666666, 33.983333333333334, 181.46666666666667, 11.383333333333333, 2.8333333333333335, 19.9, 45.31666666666667, 106.1, 25.866666666666667, 4.033333333333333, 24.183333333333334, 34.53333333333333, 10.366666666666667, 5.133333333333334, 22.666666666666668, 4.0, 28.85, 139.66666666666666, 1.5, 54.06666666666667, 23.1, 261.05, 0.43333333333333335, 76.21666666666667, 33.11666666666667, 15.516666666666667, 235.7, 7.433333333333334, 55.55, 181.88333333333333, 0.6666666666666666, 24.283333333333335, 32.93333333333333, 0.016666666666666666, 10.6, 2.95, 8.183333333333334, 23.033333333333335, 6.666666666666667, 0.4166666666666667, 4.083333333333333, 111.3, 2.3666666666666667, 62.766666666666666, 198.38333333333333, 85.41666666666667, 1.3333333333333333, 8.433333333333334, 29.533333333333335, 0.7, 36.06666666666667, 4.883333333333334, 73.7, 189.9, 73.68333333333334, 1.4666666666666666, 36.61666666666667, 3.7, 33.0, 35.93333333333333, 65.38333333333334, 49.666666666666664, 19.033333333333335, 0.7833333333333333, 47.18333333333333, 109.45, 34.2, 59.916666666666664, 55.36666666666667]",46.23937198,Intense
Dead Island,64,1357.166667,"[0.36666666666666664, 0.3, 5.683333333333334, 26.033333333333335, 21.65, 53.516666666666666, 15.516666666666667, 2.1, 34.733333333333334, 15.166666666666666, 0.08333333333333333, 9.266666666666667, 31.033333333333335, 152.9, 22.783333333333335, 1.1666666666666667, 3.1666666666666665, 3.066666666666667, 4.3, 22.316666666666666, 32.45, 12.95, 1.25, 9.75, 51.916666666666664, 52.0, 5.233333333333333, 16.016666666666666, 2.2, 11.333333333333334, 0.8833333333333333, 22.7, 26.466666666666665, 16.85, 0.4666666666666667, 10.766666666666667, 0.2833333333333333, 19.533333333333335, 2.3, 6.033333333333333, 17.416666666666668, 0.11666666666666667, 10.7, 43.61666666666667, 132.85, 12.683333333333334, 45.28333333333333, 24.216666666666665, 18.666666666666668, 27.0, 1.25, 56.93333333333333, 66.25, 15.966666666666667, 34.6, 0.7166666666666667, 1.15, 1.35, 32.3, 32.016666666666666, 32.1, 5.45, 3.2666666666666666, 14.733333333333333]",21.20572917,Casual
Counter-Strike 2,295,516208.85,"[2134.2, 34.96666666666667, 5481.633333333333, 1189.6, 22.5, 15035.583333333334, 5007.8, 39.03333333333333, 5292.25, 1384.0166666666667, 2967.0666666666666, 5898.633333333333, 2728.3166666666666, 3122.8166666666666, 0.45, 3519.0, 252.25, 474.9, 46.88333333333333, 3603.5666666666666, 2770.0, 1880.0166666666667, 5254.85, 5801.583333333333, 966.35, 38.333333333333336, 368.25, 3060.9333333333334, 4084.7, 2659.5333333333333, 2541.6666666666665, 1026.0333333333333, 2748.5666666666666, 2.0833333333333335, 67.81666666666666, 83.93333333333334, 407.93333333333334, 23.033333333333335, 1034.6, 287.2, 42.666666666666664, 1224.7, 6.916666666666667, 495.85, 3083.8166666666666, 261.5, 2332.6, 2069.1666666666665, 10.433333333333334, 3691.016666666667, 1073.7666666666667, 2569.2, 517.9, 149.2, 1993.35, 3085.883333333333, 2813.766666666667, 1270.7, 157.03333333333333, 3439.15, 4.333333333333333, 1885.5833333333333, 146.06666666666666, 1777.1833333333334, 307.7, 2.1333333333333333, 2585.2166666666667, 1677.3166666666666, 2.1666666666666665, 6.933333333333334, 11.466666666666667, 3478.65, 3082.9, 6570.183333333333, 2306.0333333333333, 1378.1833333333334, 6133.516666666666, 894.1833333333333, 5940.983333333334, 3329.3166666666666, 470.73333333333335, 1722.6833333333334, 12.816666666666666, 3235.5333333333333, 701.2666666666667, 559.5833333333334, 846.4, 7.4, 65.13333333333334, 28.65, 2942.1666666666665, 2757.983333333333, 230.38333333333333, 6773.466666666666, 1502.3166666666666, 2605.383333333333, 1907.45, 6203.383333333333, 1235.2333333333333, 493.3833333333333, 43.65, 721.3666666666667, 59.65, 262.03333333333336, 3396.25, 2946.95, 4300.533333333334, 0.8833333333333333, 12.166666666666666, 3.3666666666666667, 46.88333333333333, 681.5, 2108.0, 298.18333333333334, 7.383333333333334, 0.9166666666666666, 3665.016666666667, 106.18333333333334, 826.6833333333333, 7.7, 3.75, 1.3166666666666667, 856.4166666666666, 4014.0833333333335, 1257.9166666666667, 5487.616666666667, 572.4, 1120.65, 1532.1333333333334, 14.316666666666666, 2022.6, 2528.6, 1995.85, 6.3, 1024.9666666666667, 3019.633333333333, 0.06666666666666667, 801.2833333333333, 3459.6, 19.883333333333333, 2579.483333333333, 1703.05, 1306.8666666666666, 275.3, 2731.383333333333, 87.16666666666667, 193.63333333333333, 906.3833333333333, 6.083333333333333, 7.916666666666667, 9.866666666666667, 680.1333333333333, 20.333333333333332, 4862.65, 1402.45, 6066.4, 433.46666666666664, 4410.966666666666, 20417.983333333334, 415.3666666666667, 1064.5666666666666, 11.7, 14.833333333333334, 5187.0, 8312.5, 1346.1, 10087.783333333333, 1.6, 377.3, 2949.5333333333333, 2629.9, 4508.283333333334, 8.6, 4336.85, 92.16666666666667, 14.75, 6.283333333333333, 2820.8, 2729.516666666667, 8.966666666666667, 3796.5, 669.5, 78.0, 4.95, 1064.5, 3512.116666666667, 1097.0, 4341.516666666666, 409.03333333333336, 676.3666666666667, 767.8833333333333, 2631.1, 137.33333333333334, 47.38333333333333, 12.933333333333334, 92.23333333333333, 33.666666666666664, 872.65, 3913.65, 321.5, 2676.5, 24.8, 2707.6, 438.81666666666666, 3.65, 2750.0, 649.4666666666667, 11638.516666666666, 55.2, 971.9, 5044.616666666667, 2499.4166666666665, 11.65, 5782.666666666667, 1719.1166666666666, 1.3333333333333333, 14.016666666666667, 7.083333333333333, 123.76666666666667, 1621.0, 2050.4333333333334, 3430.0, 897.9, 11.033333333333333, 5.866666666666666, 393.9166666666667, 454.23333333333335, 19.716666666666665, 805.95, 274.3833333333333, 2338.6, 4135.633333333333, 5183.383333333333, 268.4166666666667, 8.433333333333334, 217.4, 2742.8, 183.63333333333333, 3.7, 1581.6166666666666, 172.65, 251.43333333333334, 233.46666666666667, 0.5833333333333334, 3422.133333333333, 2876.0833333333335, 13.983333333333333, 179.35, 3650.1666666666665, 16.633333333333333, 118.75, 5.116666666666666, 12.666666666666666, 91.33333333333333, 2722.883333333333, 83.48333333333333, 1858.9333333333334, 4730.3, 193.78333333333333, 1970.0333333333333, 404.46666666666664, 368.1, 952.0166666666667, 200.16666666666666, 572.2833333333333, 2288.116666666667, 345.9166666666667, 58.75, 11.216666666666667, 2245.366666666667, 1883.0833333333333, 37.833333333333336, 2297.633333333333, 1848.6333333333334, 82.41666666666667, 2792.983333333333, 139.73333333333332, 2796.3333333333335, 318.76666666666665, 798.3666666666667, 35.25, 410.6333333333333, 92.85, 7.416666666666667, 2046.2833333333333, 13148.916666666666, 5705.433333333333, 15149.233333333334, 928.0833333333334, 33.05, 9.033333333333333, 2161.233333333333, 4.516666666666667, 1481.3333333333333, 8.15]",1749.860508,Competitive
Borderlands 2,139,9532.816667,"[13.683333333333334, 60.016666666666666, 38.666666666666664, 10.7, 216.63333333333333, 16.9, 64.7, 17.983333333333334, 259.05, 24.466666666666665, 201.71666666666667, 6.2, 50.31666666666667, 2.1, 99.95, 44.833333333333336, 11.2, 160.48333333333332, 11.2, 0.35, 3.566666666666667, 83.9, 48.78333333333333, 448.8833333333333, 105.3, 71.26666666666667, 2.466666666666667, 9.5, 7.2, 190.53333333333333, 306.6, 20.033333333333335, 28.4, 14.433333333333334, 70.93333333333334, 5.3, 5.183333333333334, 29.733333333333334, 32.28333333333333, 1.9, 39.833333333333336, 53.38333333333333, 47.18333333333333, 3.033333333333333, 0.8166666666666667, 1.8833333333333333, 2.8833333333333333, 8.816666666666666, 16.8, 10.833333333333334, 107.25, 23.783333333333335, 175.85, 92.1, 24.983333333333334, 29.1, 2.25, 51.9, 27.333333333333332, 2.9, 6.433333333333334, 4.766666666666667, 49.516666666666666, 4.533333333333333, 1.9166666666666667, 3.9, 30.2, 194.63333333333333, 117.26666666666667, 551.3166666666667, 133.51666666666668, 1.15, 63.333333333333336, 4.666666666666667, 11.25, 2.05, 226.43333333333334, 29.95, 2.9833333333333334, 3.9166666666666665, 51.8, 3.0, 458.23333333333335, 0.8833333333333333, 120.35, 680.7, 147.98333333333332, 127.76666666666667, 6.25, 71.46666666666667, 0.05, 16.8, 2.183333333333333, 58.13333333333333, 0.75, 128.91666666666666, 172.9, 53.483333333333334, 286.53333333333336, 0.7, 60.53333333333333, 166.3, 1.5166666666666666, 5.966666666666667, 192.13333333333333, 5.383333333333334, 87.51666666666667, 8.5, 21.3, 70.03333333333333, 6.3, 243.28333333333333, 13.5, 4.316666666666666, 3.783333333333333, 59.0, 3.7, 134.55, 3.7666666666666666, 1.2666666666666666, 72.2, 163.73333333333332, 0.8666666666666667, 3.1, 26.45, 31.95, 21.133333333333333, 27.383333333333333, 52.333333333333336, 33.516666666666666, 42.85, 3.9166666666666665, 141.2, 154.26666666666668, 24.35, 3.5166666666666666, 84.43333333333334, 124.9, 75.18333333333334]",68.58141487,Intense
Trine 2,55,291.8666667,"[6.6, 0.2833333333333333, 1.8, 0.7, 0.9666666666666667, 3.4166666666666665, 13.9, 9.633333333333333, 6.316666666666666, 7.633333333333334, 0.45, 1.3333333333333333, 5.116666666666666, 3.3333333333333335, 9.8, 4.916666666666667, 0.38333333333333336, 7.65, 1.25, 0.5666666666666667, 9.85, 3.433333333333333, 3.6333333333333333, 2.033333333333333, 5.233333333333333, 1.0, 4.733333333333333, 12.416666666666666, 9.4, 3.183333333333333, 0.21666666666666667, 0.5166666666666667, 1.05, 0.6833333333333333, 6.35, 13.9, 1.25, 6.383333333333334, 1.9833333333333334, 0.45, 2.4166666666666665, 22.1, 29.3, 3.6666666666666665, 0.45, 2.3833333333333333, 1.6166666666666667, 0.8166666666666667, 2.0833333333333335, 8.533333333333333, 0.13333333333333333, 26.35, 9.5, 1.1, 7.666666666666667]",5.306666667,Casual
TrackMania Nations Forever,47,535.5833333,"[0.9333333333333333, 5.65, 83.6, 11.833333333333334, 0.7833333333333333, 2.9166666666666665, 1.3333333333333333, 37.916666666666664, 0.2, 14.466666666666667, 5.766666666666667, 119.7, 0.8833333333333333, 0.23333333333333334, 0.4666666666666667, 0.7166666666666667, 46.56666666666667, 0.016666666666666666, 0.15, 0.016666666666666666, 58.06666666666667, 3.6166666666666667, 0.55, 0.016666666666666666, 1.3333333333333333, 0.4166666666666667, 0.03333333333333333, 0.5666666666666667, 54.7, 1.5166666666666666, 0.03333333333333333, 0.016666666666666666, 4.283333333333333, 49.18333333333333, 0.85, 2.3833333333333333, 0.9, 11.483333333333333, 0.55, 0.05, 1.1333333333333333, 0.15, 0.06666666666666667, 0.6, 0.016666666666666666, 0.5, 8.416666666666666]",11.39539007,Casual
Neverwinter,29,229.2,"[2.2, 29.0, 0.3333333333333333, 0.26666666666666666, 10.183333333333334, 0.11666666666666667, 10.416666666666666, 3.75, 23.833333333333332, 8.033333333333333, 3.6333333333333333, 1.9666666666666666, 1.6333333333333333, 5.583333333333333, 1.6833333333333333, 1.2166666666666666, 2.05, 1.8333333333333333, 2.6666666666666665, 63.45, 8.3, 26.283333333333335, 2.1666666666666665, 0.7166666666666667, 0.016666666666666666, 0.18333333333333332, 4.583333333333333, 12.983333333333333, 0.11666666666666667]",7.903448276,Casual
