Action,Adventure,RPG,Strategy,Indie,Casual,,,,,
Counter-Strike 2,The Elder Scrolls® Online,ELDEN RING,Counter-Strike 2,Rust,The Sims™ 4,,,,,
ELDEN RING,The First Descendant,The Elder Scrolls® Online,Baldur's Gate 3,Five Nights at Freddy's: Into the Pit,Chained Together,,,,,
HELLDIVERS™ 2,Baldur's Gate 3,The First Descendant,Once Human,Stardew Valley,Stardew Valley,,,,,
The Elder Scrolls® Online,Destiny 2,Baldur's Gate 3,Dota 2,Phasmophobia,Supermarket Simulator,,,,,
The First Descendant,Once Human,Warframe,Yu-Gi-Oh! Master Duel,Supermarket Simulator,American Truck Simulator,,,,,
Warframe,The Sims™ 4,Fallout 76,Dead by Daylight,RimWorld,VRChat,,,,,
Destiny 2,FINAL FANTASY XIV Online,Once Human,PUBG: BATTLEGROUNDS,Palworld,Balatro,,,,,
War Thunder,Rust,FINAL FANTASY XIV Online,Tom Clancy's Rainbow Six® Siege,Project Zomboid,Battlefield™ 2042,,,,,
Dead by Daylight,Grand Theft Auto V,Path of Exile,Black Desert,DREDGE,Bloons TD 6,,,,,
Once Human,Path of Exile,Dota 2,Magic: The Gathering Arena,No Man's Sky,GUILTY GEAR -STRIVE-,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
10 pages,,,,,,,,,,
Action,,,,,,,,,,
Adventure,,,,,,,,,,
RPG,,,,,,,,,,
Strategy,,,,,,,,,,
Counter-Strike 2,"Action, Strategy",,,,,,,,,
ELDEN RING,"Action, RPG",,,,,,,,,
The Elder Scrolls® Online,"Adventure, Action, RPG",,,,,,,,,
Baldur's Gate 3,"Adventure, Strategy, RPG",,,,,,,,,
The First Descendant,"Adventure, Action, RPG",,,,,,,,,
Once Human,"Adventure, Action, RPG, Strategy",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,AppId,Game name,,,,,
,,,,730,Counter-Strike 2,,,,,
,,,,1245620,ELDEN RING,,,,,
,,,,306130,The Elder Scrolls� Online,,,,,
,,,,1086940,Baldur's Gate 3,,,,,
,,,,2074920,The First Descendant,,,,,
,,,,2139460,Once Human,,,,,
,,,,230410,Warframe,,,,,
,,,,1222670,Sims 4,,,,,
,,,,271590,Grand Theft Auto V,,,,,
,,,,1085660,Destiny 2,,,,,
